jam_criteria,jam_end_date,jam_host,jam_name,jam_no_joined,jam_no_rating,jam_no_submissions,jam_start_date,jam_url
Titan Boss,2017-04-07 20:00:00,itwist,Titan Boss Jam,23,3,2,2017-03-07 20:00:00,https://www.itch.io/jam/titan-boss-jam
Overall||Low Poly Art||Diorama||Sound||Music||Fun||Juice||Technical,2016-08-22 22:59:59,Arowx,Low Poly Diorama,23,0,1,2016-07-05 23:00:00,https://www.itch.io/jam/low-poly-diorama
"Overall||Intelligent||Amusant||Qualité de réalisation||Mécanique de jeu adaptée au sujet||Libre et ""clé-en-main"" pour qui veut l'améliorer",2016-06-19 21:59:59,plumpaiok||QLRZ studio,Jeux Debout,23,10,15,2016-05-20 22:00:01,https://www.itch.io/jam/jeux-debout
,2017-08-05 23:00:00,ccCam,Just f**king finish it!,24,0,2,2017-07-30 23:00:00,https://www.itch.io/jam/just-fking-finish-it
,2019-04-01 06:59:59,toiletsnakes||Magic_Spark||Stealthix,Buddy Jam 4,24,0,2,2019-03-01 08:00:00,https://www.itch.io/jam/buddy-jam-4
,2019-02-18 20:12:23,gamesdenuofa,VGAD Winter 2019 Game Jam (STRING),24,0,7,2019-02-16 19:00:00,https://www.itch.io/jam/vgad-winter-2019-game-jam
,2018-10-16 03:59:59,semicode||RedTowerShield,HiJam,24,0,8,2018-10-12 21:00:00,https://www.itch.io/jam/hijam
Fun||Visuals||Audio||Use of Theme,2019-05-06 07:00:00,romsteady,Shacknews Jam: The Third,23,104,7,2019-04-20 16:00:00,https://www.itch.io/jam/shacknews-jam-the-third
Overall||Theme||Innovation||Playability||Visuals||Sound,2016-10-23 23:00:00,Alexander Birke aka Out Of Bounds Games||Shifty Studio||Team Gormless,Absurd Aspect Ratio Jam,23,17,6,2016-10-20 23:00:00,https://www.itch.io/jam/absurd-aspect-ratio-jam
Overall||fun||Creativity||Polish||Theme,2018-03-26 08:00:00,ViolentCrumble,GDL - March Madness Jam,24,28,5,2018-03-23 08:00:00,https://www.itch.io/jam/gdl-march-madness-jam-2018
,2018-04-19 03:00:00,MeGaHealthJam||Whereskunaldo,MeGa Health Jam 2018,24,0,17,2018-04-15 04:00:00,https://www.itch.io/jam/megahealthjam2018
Overall||Creativity||Difference From Original||Playability,2015-11-30 05:00:00,bartekci||cdutson,NES Box Art Jam,24,0,6,2015-11-01 04:00:00,https://www.itch.io/jam/nes-box-art-jam
Gameplay||Theme||Originality||Art||Effort||Audio,2019-09-01 11:00:00,SquallySubset43,NGD Game Jam 001,24,6,3,2019-08-25 11:00:00,https://www.itch.io/jam/ngd-game-jam
Theme||Gameplay||Fun factor||Graphics,2019-03-01 04:00:00,Med School Arcade,"Edu-Jam 1, $250 in Prizes",24,0,6,2019-02-22 13:00:00,https://www.itch.io/jam/edu-jam-med-school-style
,2019-02-15 03:48:51,The Happiest Camper,Wholesome Jam,24,0,7,2018-08-30 23:41:59,https://www.itch.io/jam/wholesome-jam
Overall||fun||originality||creativity||art style,2017-02-21 23:00:00,tutortaylor,Yoobee Game Jam,24,90,25,2016-04-10 12:00:00,https://www.itch.io/jam/yoobee
,2017-04-17 00:00:00,Jonathan Giroux (Koltes),Weekly Hour Game Jam - W15 2017,24,0,7,2017-04-10 00:00:00,https://www.itch.io/jam/weekly-hour-game-jam---w15-2017
Overall||Diversão (no geral)||Fidelidade ao tema,2017-12-18 20:00:00,Hyreos,BotecoJAM#03,24,10,4,2017-12-15 20:00:00,https://www.itch.io/jam/botecojam03
Overall||Creativity||Implementation of the theme||Overall impression,2019-03-31 18:00:00,LightNightGames,LightNight Jam,24,0,2,2019-03-29 19:00:00,https://www.itch.io/jam/lightnight-jam
,2017-03-27 00:00:00,Jonathan Giroux (Koltes),Weekly Hour Game Jam - W12 2017,24,0,11,2017-03-20 00:00:00,https://www.itch.io/jam/weekly-hour-game-jam---w12-2017
Coolness||Innovation||Playfulness||Originality,2018-08-06 06:00:00,Subsage,AGDG clicker jam,24,15,5,2018-07-23 06:00:00,https://www.itch.io/jam/agdg-clicker-jam
Overall||Creativity||Visual experience||Audio experience||Game mechanics,2017-10-12 16:59:59,Weekly Game Jam||Nekomatata||PouleyKetchoup,Weekly Game Jam - Week 13,24,24,5,2017-10-06 16:59:59,https://www.itch.io/jam/weekly-game-jam-13
Adapted to Theme||Gameplay||Graphics||Sound,2017-10-06 22:00:00,Dotch™,Hacker Game Jam 2017,24,1,1,2017-09-22 22:00:00,https://www.itch.io/jam/hacker-game-jam-2017
,2018-05-14 04:00:00,TheKevster,Classic Zelda Jam,24,0,1,2018-04-14 04:00:00,https://www.itch.io/jam/classic-zelda-jam
Jump scare rate||Sound Effect||Functionality||Origiality,2018-04-29 16:00:00,Epic Blank Crew,JUMP SCARE JAM,24,0,2,2018-03-01 06:06:36,https://www.itch.io/jam/jump-scare-game-jam
Favorite Game,2018-01-09 04:59:59,decomakke,BL Jam,24,5,3,2017-08-01 04:00:00,https://www.itch.io/jam/blgamejam
Overall||Presentation||Execution||Fun,2017-02-28 12:59:59,"TheDanaAddams||Tina ""sheepytina"" Hill",Nazi SLAM! Jam,24,2,3,2017-01-31 13:00:00,https://www.itch.io/jam/nazislam
Overall||Qualidade da Execução||Inovação e/ou Ineditismo,2018-11-26 01:00:00,Indie Warehouse,FliperJam 2018,24,0,19,2018-11-23 21:00:00,https://www.itch.io/jam/fliperjam-2018
,2017-10-31 04:00:00,DPS2004,Oddball jam,24,0,6,2017-10-05 04:00:00,https://www.itch.io/jam/oddball-jam
Overall||Playability||Theme Followed||Completion||Creativity,2017-06-12 03:30:00,Himanshu Mitta,FireTruck Game Jam,24,19,4,2017-06-09 16:30:00,https://www.itch.io/jam/firetruck
,2018-09-27 10:00:00,somostalentum,Jam Jam 2.0 Talentum presencial,24,0,22,2018-09-25 16:00:00,https://www.itch.io/jam/jam-jam-2-talentum-presencial
Overall||Overall||Improvement||Art||Sound||Gameplay||Innovation,2016-09-01 11:13:14,JosieC,Watch yourself progress Jam,24,1,5,2016-04-20 00:02:03,https://www.itch.io/jam/watch-yourself-progress
Overall||Feedback||Gameplay||Art||Music||SFX,2016-06-06 03:59:59,Jerementor,Jerementor Game Jam,24,11,3,2016-06-04 00:00:00,https://www.itch.io/jam/jerementor-game-jam
Overall||Fun||Innovation||Graphics and Sound,2017-04-30 21:59:59,frodewin||LiFaytheGoblin,"Scratch Jam 2017 - Topic is ""Sky""",24,49,10,2017-03-31 22:00:00,https://www.itch.io/jam/scratch-jam-2017
,2019-10-27 18:00:59,AbertayGDS,GDS Week 7 Game Jam,24,0,17,2019-10-23 23:19:00,https://www.itch.io/jam/gds-week-7-game-jam
Simplistic||Theme||Entertaining||Graphics||Music and SFX,2019-01-19 18:00:00,Master Pose,Simple Is Better,24,58,6,2019-01-16 18:00:00,https://www.itch.io/jam/simple-is-better
,2019-04-29 23:00:00,whykay||Darren K,Cork GameCraft 2019,24,0,5,2019-03-22 10:00:00,https://www.itch.io/jam/cork-gamecraft-2019
Fits the Theme||Mechanics||Originality||Replayability||Retro Graphics||Retro Sound,2018-04-17 01:00:00,SamuraiLink3||runekiller13||samurailink4||n0t_josh||Dadam,72 Pin Connector Retro Jam,24,83,8,2018-04-14 01:00:00,https://www.itch.io/jam/72pc-jam-1
Overall||Equipo que más ayudó a los demás||Mayor logro técnico||Mayor logro estético||Mayor inmmersión||Proyecto que debería tener seguimiento,2016-08-07 22:30:00,Jacinto Quesnel||Astucia,Mermelada Inmersiva: ¿Importa? No podrías confirmarlo de todos modos,24,123,8,2016-08-05 22:00:00,https://www.itch.io/jam/mermevr
,2019-10-13 20:00:00,WonderJamUQAC,WonderJam UQAC Automne 2019,25,0,16,2019-10-11 20:00:00,https://www.itch.io/jam/wonder-jam-uqac-a2019
,2018-05-28 03:59:59,LexLoco||Odd Weekend Game Jam,Odd Weekend Game Jam 6,25,0,8,2018-05-25 04:00:00,https://www.itch.io/jam/odd-weekend-game-jam-6
Overall||Gameplay||Graphics||Replay Value||Originality,2017-03-10 08:00:00,ZebraFox Games,Games For Kids Jam,24,3,2,2017-01-10 08:00:00,https://www.itch.io/jam/games-for-kids-jam
Overall||Mechanics||Controls||Fun||Content Diversity||Graphics||Visual Effects||Music||Sound Effects||User Interface||Compliance With Topic,2017-02-26 22:16:59,Pixel Lifetime,Weekend Crazy Jam,24,15,7,2017-02-24 22:00:00,https://www.itch.io/jam/weekend-crazy-jam
,2019-07-01 05:00:00,Plum,Trans Mix Tape Jam!!!!,25,0,5,2019-05-18 05:00:00,https://www.itch.io/jam/trans-mix-tape-jam
,2017-05-08 00:00:00,alfheimwanderer,Playcrafting + Extra Life Game Jam,25,0,8,2017-05-05 04:00:00,https://www.itch.io/jam/extra-life-game-jam
Concept (The game matched the theme/genre)||Playability||Graphics||Replayability||Creativity,2018-12-01 17:00:00,Socket Studios,Space Jam,24,7,5,2018-11-10 16:00:00,https://www.itch.io/jam/ts-space-jam
Overall||Enjoyment||Gameplay||Sights & Sounds||Themeness||Giant Bombitude,2015-12-07 04:59:59,Alex Zandra,Giant ROM 2,25,183,23,2015-11-28 05:00:00,https://www.itch.io/jam/giant-rom-2
Overall||Graphisme||Audio||Game Play||Respect du Thème||Jouabilité,2019-04-30 21:59:59,GameJamFrancophone,Game Jam Francophone Episode 5,25,226,15,2019-04-14 18:00:00,https://www.itch.io/jam/game-jam-francophone-episode-5
,2019-09-30 01:00:00,backtoschooljam,UCSC Back to School Jam,25,0,10,2019-09-28 01:00:00,https://www.itch.io/jam/ucsc-back-to-school-jam
Overall||Respect du thème||Gameplay||Graphisme,2017-11-26 22:59:59,FrenchGameJam,French Game Jam #2,25,3,3,2017-11-24 19:30:00,https://www.itch.io/jam/french-game-jam-2
Overall||Aesthetic||Entertainment Value||Use of Bolt,2019-04-15 03:59:59,Yloon||homemech,Bolt Jam #5,25,16,8,2019-04-05 04:00:00,https://www.itch.io/jam/bolt-jam-5
,2019-04-29 21:59:59,RokKos,Ljubljana Ludum Dare #44 Game Jam,25,0,11,2019-04-27 06:30:00,https://www.itch.io/jam/ljubljana-ludum-dare-44-game-jam
Overall||Direction artistique||Respect du thème||Musique||Fun,2017-07-16 23:00:00,squale,Construct French Game Jam 5,25,131,11,2017-07-13 22:01:00,https://www.itch.io/jam/cfgj5
Overall||Grand Prize||Best Art||Best Student Game||Best Design||Best Abstract Game,2016-08-08 02:30:00,sdgamedev||k0j0,San Diego Game Jam,25,52,13,2016-08-06 01:30:00,https://www.itch.io/jam/sdgamejam
Overall||Gameplay||Design||Theme Interpretation,2019-03-31 22:00:00,dogs++,CCAW JAM,25,45,8,2019-03-29 22:00:00,https://www.itch.io/jam/ccaw-jam
,2017-09-10 23:00:00,Buffalo Game Space,BGSjam X,25,0,8,2017-09-08 23:00:00,https://www.itch.io/jam/bgsjam-x
Nota do jurado||Voto popular,2019-06-10 03:59:59,yuri.tomas||thiagocorreiaIFMS||evandrofalleiros,Side Quest IFMS,25,0,6,2019-06-06 03:00:30,https://www.itch.io/jam/sidequestifms
Overall||Engine Obscurity||Engine Obsolescence||Engine Bustedness||Creativity||Style,2017-08-20 23:00:00,Rachel Kaye,Broken Engine Jam!,25,0,2,2017-08-17 23:00:00,https://www.itch.io/jam/broken-engine-jam
,2019-06-01 03:59:59,Metaparadox,Otherships Jam,25,0,9,2019-05-01 22:00:00,https://www.itch.io/jam/otherships-jam
Overall||Estética||Gameplay||Polimento||Adequação ao tema,2018-09-05 02:59:59,Yun||IFRJ_EPF_CA,IFRJ Game Jam,25,0,8,2018-08-31 20:00:00,https://www.itch.io/jam/ifrjam
,2018-08-06 04:00:00,Onarru||OneGameDad||wazanator,Waypoint Community Game Jam 2018: Big Boy Season,25,0,9,2018-07-01 04:00:00,https://www.itch.io/jam/big-boy-season
,2018-09-10 11:00:00,Krassenstein,The Krass-N.G. Jam 6!,25,0,9,2018-09-07 11:00:00,https://www.itch.io/jam/krassjam6
Originality||Fun Factor||Audio||Graphics||Controls,2019-08-21 00:00:00,SteliosWinters,Intellivision Jam,25,39,9,2019-08-11 00:00:00,https://www.itch.io/jam/intellivision
Overall||Gameplay||Visuals||Music / Sound Effects,2018-04-22 07:00:00,Caaz,The Code Monkeys Game Jam,25,8,4,2018-04-01 07:00:00,https://www.itch.io/jam/the-code-monkeys-game-jam
,2017-04-17 12:00:00,cecinestpasunjeu,Ceci n'est pas un jeu 2017,25,0,12,2017-04-15 12:00:00,https://www.itch.io/jam/ceci-nest-pas-un-jeu-2017
Overall||Gameplay||Theme/Idea||Art (Graphics/Sounds)||Mixing Team Ideas,2017-12-02 00:00:00,Nodragem||Games Wales||Num_T||The Arcade Vaults,GWJam 2017,25,0,2,2017-10-25 23:00:00,https://www.itch.io/jam/gwjam2017
,2018-11-09 18:30:00,GameJamPlus,Gamethon 2018,25,0,23,2018-11-02 17:08:00,https://www.itch.io/jam/gamethon-2018
Overall||Matches Theme?||Enjoyment||Game Mechanics||Art||Music,2017-10-15 21:59:59,Haploid7,48 Secret Jam - October 2017,25,18,5,2017-10-13 21:59:59,https://www.itch.io/jam/48-secret-jam-october-2017
Audience Choice,2015-10-12 00:00:00,Greg Squire,Utah Indie Game Jam 2015,25,136,11,2015-10-10 00:00:00,https://www.itch.io/jam/utah-indie-game-jam-2015
Overall||Quality of Gameplay||Gameplay Relavence (to Scenario)||Genre Relavence (to Scenario),2016-08-31 05:00:00,Ashton Snapp,DystopiJam,25,0,1,2016-06-01 05:00:00,https://www.itch.io/jam/dystopijam
,2016-07-28 21:00:00,verity v. lee,Discworld Open Jam,25,0,2,2016-05-08 11:31:38,https://www.itch.io/jam/discworld-open-jam
,2018-10-31 23:59:59,AshG,"I can't be bothered to write a whole book, so I'll just write the blurb for the back cover writing jam",25,0,11,2017-06-12 23:00:00,https://www.itch.io/jam/i-cant-be-bothered-to-write-a-whole-book-so-ill-just-write-the-blurb-for-the-back-cover-writing-jam
,2016-06-07 23:00:00,misologue,Hits Playtime 2016,25,0,22,2016-05-29 22:00:01,https://www.itch.io/jam/hits-playtime-2016
,2017-02-25 22:00:00,Jupiter_Hadley,Jupiter Hadley's Birthday Jam,25,0,14,2017-02-18 00:00:00,https://www.itch.io/jam/jupiter-hadleys-birthday-jam
Overall||Quality Of Work||Theme,2018-10-31 23:59:59,AWestwoodCGD,Jamtober 2018,25,3,2,2018-09-30 23:00:00,https://www.itch.io/jam/jamtober2018
,2017-01-23 00:00:00,Jonathan Giroux (Koltes),Weekly Hour Game Jam - W3 2017,25,0,11,2017-01-16 00:00:00,https://www.itch.io/jam/weekly-hour-game-jam---w3-2017
,2017-03-06 00:00:00,Jonathan Giroux (Koltes),Weekly Hour Game Jam - W9 2017,25,0,12,2017-02-27 00:00:00,https://www.itch.io/jam/weekly-hour-game-jam---w9-2017
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-10-21 09:00:00,rocknightstudios||Yagich,Trijam #41: The 3 hour game jam,25,50,7,2019-10-18 09:00:00,https://www.itch.io/jam/trijam-41
,2018-03-18 11:00:00,un bot pourrait faire ça,Reverse Jam,25,0,6,2018-01-29 11:00:00,https://www.itch.io/jam/reverse-jam
Overall||Gameplay||Visuals||Audio||How much do you enjoy the game overall?||How well does the game fit the theme,2019-09-16 09:00:00,rocknightstudios,Trijam #36: A 3 hour game jam,25,39,9,2019-09-13 09:00:00,https://www.itch.io/jam/trijam-36
,2017-01-01 07:59:59,JustKay,Holiday Rainbow Jam,25,0,4,2016-12-18 08:00:00,https://www.itch.io/jam/holidayrainbowjam
,2017-11-18 14:30:00,Mladý pes,Bratislava Game Jam 2017,25,0,17,2017-11-16 17:00:00,https://www.itch.io/jam/bratislava-game-jam-2017
,2018-08-27 01:00:00,tppr2046||PLAYBILLY||johnson_lin,Faust Game Jam 2018,26,0,9,2018-08-25 01:00:00,https://www.itch.io/jam/faust-game-jam
,2018-04-01 18:00:00,AGDG||subliminalman,Score Wars Game Jam,26,0,8,2018-03-29 18:00:00,https://www.itch.io/jam/score-wars-game-jam
,2018-07-15 23:00:00,Phillammon,Watch + Jam,26,0,11,2018-06-30 23:00:00,https://www.itch.io/jam/watch-and-jam
Overall||Respect du Thème||GamePlay||Graphisme||Son||Finition,2018-09-30 21:59:59,GameJamFrancophone,GameJam Francophone Episode 1,25,167,6,2018-09-13 22:00:00,https://www.itch.io/jam/gamejam-francophone-episode-1
,2019-08-31 21:59:00,indiedevday,IndieDevDay2 GameJam,26,0,7,2019-08-24 22:01:00,https://www.itch.io/jam/indiedevday2gamejam
Mechanics / Gameplay?||How Yorkshire is the game?||Art / Aesthetics?,2019-02-25 16:30:00,GamesLabLeeds,Yorkshire Jam,25,17,14,2019-02-23 10:00:00,https://www.itch.io/jam/yorkshire-jam
Overall||Entertainment Value (30% of score)||Educational Value (25% of score)||Increasing Awareness (15% of score)||Increasing Appreciation (15% of score)||Game Elements (15% of score),2018-05-07 03:59:59,Jennifer Ann's Group,"2018 Life.Love. Game Design Challenge ($3,000 in prizes)",25,0,7,2018-04-06 04:00:01,https://www.itch.io/jam/2018-lifelove-game-design-challenge
Overall||Creativity||Customization||Writing,2019-08-22 21:00:00,TeasJams||Drifty,Creative Cutscene Contest,25,110,10,2019-08-15 21:00:00,https://www.itch.io/jam/c3
,2019-01-08 12:00:00,Krassenstein,The Krass-N.G. Jam 8!,26,0,8,2019-01-05 12:00:00,https://www.itch.io/jam/krassjam8
,2017-10-15 23:00:00,Axol Studio,STL Scatterjam October 2017,26,0,18,2017-10-13 23:00:00,https://www.itch.io/jam/stl-scatterjam-october-2017
Overall,2018-10-15 00:00:00,maryb197,Stout-IGDA Fall 2018 Game Jam,26,0,19,2018-10-12 22:00:00,https://www.itch.io/jam/stout-f18-game-jam
Games MUST be puzzle games.,2016-11-30 06:00:00,Conception Software,Puzzle Game Vote Jam,26,12,3,2016-11-01 05:00:00,https://www.itch.io/jam/puzzle-game-jam
,2018-06-13 10:00:00,Hits Playtime,Hits Playtime 2018,26,0,21,2018-06-04 22:00:00,https://www.itch.io/jam/hits-playtime-2018
Overall,2019-02-04 04:59:59,LexLoco||Thedrdevin||Odd Weekend Game Jam,Odd Week Long Game Jam 3,26,0,6,2019-01-25 05:00:00,https://www.itch.io/jam/odd-week-long-game-jam-3
Overall||Overall||Graphics||Sound||Mechanics,2017-08-13 14:00:00,JoleEh||Falkisen,JF 48-Hour Gamejam,26,14,6,2017-08-11 14:00:00,https://www.itch.io/jam/jf-48-hour-gamejam
Overall Enjoyment||Use Of Theme||Creativity||Visuals||Gameplay Enjoyment||Audio,2019-06-24 03:59:59,LexLoco||Thedrdevin,Untitled Game Jam #2,26,30,8,2019-06-07 04:00:00,https://www.itch.io/jam/untitled-game-jam-2
Overall,2018-08-08 17:00:00,Kyjor,Circle Of Life Game Jam,26,0,1,2018-08-01 04:00:00,https://www.itch.io/jam/circle-of-life
,2018-11-20 14:00:00,Yitz,Everything But The Game jam,26,0,1,2018-10-10 00:01:29,https://www.itch.io/jam/everythingbutthegame
Overall,2017-08-21 21:18:00,lcrabbit||Hyreos,Boteco Jam,26,0,10,2017-08-18 21:00:00,https://www.itch.io/jam/boteco-jam-1
Innovation - Is the game unique? Does it have some feature that stands out?||Gameplay - Is the game fun? Would you want to keep playing?||Art - Does the game look appealing?||Audio - Does the game sound good? Is the audio well designed and executed?||Content - How long does the game last?||Story - Does the game's storyline make sense? Is it well written/imaginative?,2018-01-01 07:59:59,Koala Squad,Christmas break jam,26,0,5,2017-12-16 18:00:00,https://www.itch.io/jam/christmas-break-jam
,2019-09-15 21:00:00,rijv,Les Game Jams du RIJV #3 : Le Self Care,26,0,6,2019-09-06 17:00:00,https://www.itch.io/jam/les-game-jams-du-rijv-3-self-care
,2016-08-09 00:00:00,SuperWes,St. Louis Game Dev Duel 2016,26,0,10,2016-07-01 00:00:00,https://www.itch.io/jam/game-dev-duel-2016
Overall||Goal: The player has an objective to accomplish to win the game.||Rules: It is clear what the player must do and cannot do.||Space: The game takes place in a defined space that adds to the interest.||Theme: This jam’s theme is:  “Cyberpunk”||Prototype: This game is a functional Minimum Viable Product / Prototype.,2017-10-21 23:55:00,Voxel Collective||aradhalia||kylahi||Corey King||fiscalhalo336,Spooky Game Jam 2017,26,167,10,2017-10-21 00:00:00,https://www.itch.io/jam/spooky-game-jam-2017
,2018-09-23 22:00:00,Yukon W.,IGDA Becker Chapter Asset Jam 2018,26,0,11,2018-09-21 22:00:00,https://www.itch.io/jam/asset-jam
,2019-04-04 04:00:00,C&D Cardboard Games,The Trash Jam 2019! By C&D Cardboard Games!,26,0,9,2019-03-04 05:00:00,https://www.itch.io/jam/trashjam2019
,2016-09-10 13:00:00,Steve Halliwell,Make-A-Thing Sept 2016,26,0,4,2016-09-04 23:00:00,https://www.itch.io/jam/make-a-thing-16-09
Overall||How Fast-to-Complete||Idea||Gameplay||Graphics,2017-07-07 20:59:59,superuser,Summer of Fast-to-Complete Games,26,87,12,2017-06-30 21:00:00,https://www.itch.io/jam/fast-to-complete-games
Originality||Fun Factor||Audio||Graphics||Controls,2019-08-12 00:00:00,SteliosWinters,Mouse Movement Jam,26,57,10,2019-08-05 00:00:00,https://www.itch.io/jam/mouse-movement
Overall||Audio||Originalidad||Jugabilidad||Tema||Gráficos,2019-08-08 18:00:00,Damv,Indie Dev Jam en Español #4,26,49,9,2019-08-01 18:00:00,https://www.itch.io/jam/indie-dev-jam-es-4
Overall||Respect of the themes||Game Play||Game Design||Music||Sounds||Graphics,2018-04-09 06:00:00,T-Team,Games Factory Jam,26,64,9,2018-04-06 18:00:00,https://www.itch.io/jam/games-factory-2
Overall Enjoyment||Use Of Theme||Creativity||Visuals||Gameplay Enjoyment||Audio,2019-10-07 03:59:59,LexLoco||Thedrdevin,Untitled Game Jam #7,26,1,1,2019-09-20 03:59:59,https://www.itch.io/jam/untitled-game-jam-7
Overall,2018-04-08 16:15:00,FrenchGameJam,French Game Jam #6 (Récompenses),26,0,6,2018-04-02 07:00:00,https://www.itch.io/jam/french-game-jam-6
Overall||Whimsy||Ride Safety||Fried-Batter-to-Sausage-Ratio||Units of Barrels-O'-Fun,2017-11-13 05:59:00,Fantastic Arcade Gamemaking Frenzies||Wiley Wiggins||brandonnn,Phony Island,26,33,10,2017-10-30 16:00:00,https://www.itch.io/jam/phony-island
,2019-09-02 03:59:59,Jacqueline Bryk,Met Open Access Jam,27,0,4,2019-08-17 13:55:25,https://www.itch.io/jam/metropolitan-museum-of-art-jam
,2019-06-21 23:00:00,ZumbiGordo,10ª Game Jam Santa Maria,27,0,10,2019-06-14 20:00:00,https://www.itch.io/jam/10gjsm
Overall||Jugabilidad||Tema||Audio||Graficos||Originalidad,2019-09-08 18:00:00,Damv,Indie Dev Jam en Español #5,26,35,8,2019-09-01 18:00:00,https://www.itch.io/jam/indie-dev-jam-es-5
Gameplay,2018-11-30 22:59:00,SAE Institute Hamburg,SAE Game Jam,26,76,6,2018-11-30 09:00:00,https://www.itch.io/jam/sae-game-jam
Pixeled,2018-11-07 11:00:00,LarsG2005,Pixeler's Jam,26,26,6,2018-10-31 11:00:00,https://www.itch.io/jam/pixelers-jam
Overall||Globale||Fun||Visuel||Son||Originalité||Respect du thème,2018-06-30 19:00:00,FrenchGameJam||Demotion||Ama,French Game Jam (Trinity - Season 1),26,50,8,2018-06-23 18:00:00,https://www.itch.io/jam/fgj-s1-trinity
,2015-06-04 04:00:00,Angrybird545,TyTyTheMan Game Jam #1,27,0,29,2015-04-04 04:00:00,https://www.itch.io/jam/tytytheman-game-jam-1
,2018-11-12 04:59:59,LexLoco||Thedrdevin||Odd Weekend Game Jam,Odd Weekend Game Jam 15,27,0,6,2018-11-09 05:00:00,https://www.itch.io/jam/odd-weekend-game-jam-15
,2017-10-02 04:00:00,ruggedmug,IndieGalactic2017,27,0,19,2017-10-01 17:00:00,https://www.itch.io/jam/indiegalactic2017
,2018-09-18 06:00:00,m0dE,$100 Prize - Modd.io Game Jam (Theme: Restaurant),27,0,2,2018-09-11 06:00:00,https://www.itch.io/jam/moddio-game-jam-2
,2017-09-14 16:59:59,Weekly Game Jam||PouleyKetchoup||Nekomatata,Weekly Game Jam - Week 9,27,0,4,2017-09-08 16:59:59,https://www.itch.io/jam/weekly-game-jam-9
Overall||Originality||Creativity||How good was the input method used?||Art and Style||Music And Sounds||Gameplay,2016-09-20 21:00:00,Moon Light Games,No Touch Screen Or Mouse Challenge,26,15,6,2016-09-06 21:00:00,https://www.itch.io/jam/no-touch-screen-chalange
Overall||Frustration||Unfairness||Confusion||Uncanny valley||Ear destruction||Bugs||Microtransactions,2019-08-25 16:00:00,adriendittrick,Game Breaker's Toolkit Jam,27,63,15,2019-08-22 16:00:00,https://www.itch.io/jam/game-breakers-toolkit-jam
,2019-08-21 17:00:00,BrodyAbroad,Monthly Game Jam #1,27,0,4,2019-08-01 17:00:00,https://www.itch.io/jam/monthly-game-jam-1
,2019-06-05 08:00:00,Homa Games,Homa Games EPIC Game Jam,27,0,5,2019-05-29 08:00:00,https://www.itch.io/jam/hg-game-jam-01
,2017-06-19 00:00:00,Jonathan Giroux (Koltes),Weekly Hour Game Jam - W24 2017,27,0,6,2017-06-12 00:00:00,https://www.itch.io/jam/weekly-hour-game-jam---w24-2017
Overall||Aesthetic||Entertainment Value||Use of Bolt,2019-01-12 04:59:59,Yloon||ludiq-andy||Ludiq,Bolt Jam #4,27,0,7,2019-01-03 05:00:00,https://www.itch.io/jam/bolt-jam-4
,2019-06-11 22:00:00,Hits Playtime,Hits Playtime 2019,27,0,20,2019-06-04 22:00:00,https://www.itch.io/jam/hits-playtime-2019
Fun||This Game Will Have A Good Future||Personal (you cant describe but still you want to vote for it),2019-08-30 17:00:00,Coconut Mousse,Only Card Game Allowed,27,0,2,2019-08-06 17:00:00,https://www.itch.io/jam/only-card-game
Overall||Matches with topic?||Fun Factor||Nice looking art||Catchy music,2017-07-30 10:00:00,Haploid7,48 Secret Jam,27,11,2,2017-07-28 10:00:00,https://www.itch.io/jam/48-secret-jam
Overall||Theme||Limitation||Ergonomy/Feel||Polish,2019-06-10 00:00:00,Le Codex,Datapack Jam 2 - A New Custom Entity,27,7,4,2019-06-08 00:00:00,https://www.itch.io/jam/datapack-jam-2
NoRanksPlease?||Gameplay||Graphics||Audio||Theme||Innovation,2019-06-21 11:00:00,{Pascal},NotMoeJam #5 - Decay,27,3,2,2019-06-07 11:00:00,https://www.itch.io/jam/notmoejam-5
Like It!||Game Play||Graphics||Music,2019-08-11 03:59:59,. Luis : :||sniffle6||TonThomp||Itchioben||SulaimanWar||Votrubec||nunu4692,RebootApalooza,27,18,7,2019-07-15 04:00:00,https://www.itch.io/jam/rebootapalooza
Overall||Tema - Importância do Tema||Tema - Criatividade no Uso do Tema||Gameplay - Fluxo||Gameplay - Escolhas Significativas||Arte - Qualidade da produção da arte||Arte - Direção de arte||User Experience - Facilidade de Uso||User Experience - Facilidade de Aprendizagem,2018-09-24 01:00:00,Arthur B. Seibt||cdesa||Rkt9||Kojiio||albumarques,5ª Game Jam UNIVALI,27,0,14,2018-09-22 01:00:00,https://www.itch.io/jam/5-game-jam-univali
Overall,2019-06-02 07:05:06,TGYJugando,Jam Orígenes,27,0,3,2019-05-27 05:00:00,https://www.itch.io/jam/jam-origenes
,2018-12-27 05:36:59,Emma Dee,Bitsy Community Secret Santa!!!,27,0,27,2018-12-23 06:00:00,https://www.itch.io/jam/bitsy-secret-santa-2018
Overall||Simplicity||audio||WOWIE||Laggy?||Game Design||Fun||Graphics||Inovation,2019-05-02 06:59:59,HelloStudios,GameIt! Jam,27,6,7,2019-04-25 06:59:55,https://www.itch.io/jam/gameit-jam
